"ParentID","CurveName","Ordinal","vA","vB","vE"
37325,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37325,"(10) IEC Very Inv",40,0.00,13.50,1.00
37325,"(12) IEC Ext Inv",50,0.00,80.00,2.00
37325,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
37325,"(9) IEC Normal Inv",30,0.00,0.14,0.02
37332,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37332,"(10) IEC Very Inv",40,0.00,13.50,1.00
37332,"(12) IEC Ext Inv",50,0.00,80.00,2.00
37332,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
37332,"(9) IEC Normal Inv",30,0.00,0.14,0.02
37339,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37339,"(10) IEC Very Inv",40,0.00,13.50,1.00
37339,"(12) IEC Ext Inv",50,0.00,80.00,2.00
37339,"(3) ANSI Normal Inv",20,0.01,8.6e-03,0.02
37339,"(9) IEC Normal Inv",30,0.00,0.14,0.02
37346,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37346,"(14) IEC LT Inv",90,0.00,120.00,1.00
37346,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37346,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37346,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37346,"(6) LT Ext Inv",50,0.25,64.07,2.00
37346,"(7) LT Very Inv",60,0.71,28.55,2.00
37346,"(8) LT Inv",70,0.18,0.08,0.02
37346,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37353,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37353,"(10) IEC Very Inv",90,0.00,13.50,1.00
37353,"(11) IEC Inv",100,0.00,0.14,0.02
37353,"(12) IEC Ext Inv",110,0.00,80.00,2.00
37353,"(13) IEC ST Inv",120,0.00,0.05,0.04
37353,"(14) IEC LT Inv",130,0.00,120.00,1.00
37353,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37353,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37353,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37353,"(6) LT Ext Inv",50,0.25,64.07,2.00
37353,"(7) LT Very Inv",60,0.71,28.55,2.00
37353,"(8) LT Inv",70,0.18,0.08,0.02
37353,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37367,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37367,"(10) IEC Very Inv",90,0.00,13.50,1.00
