"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
54924,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
54924,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54924,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54924,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54943,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54943,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54943,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
54943,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
54943,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
54943,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
54943,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54943,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54943,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54958,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54958,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54958,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
54958,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
54958,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
54958,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
54958,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54958,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54958,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54968,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54968,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54968,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
54968,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
54968,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
54968,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
