"TABLE_NAME","COLUMN_NAME","DATA_TYPE"
"PdbUserAccount","UserGUID","nvarchar"
"Relay","CreatorGuid","nvarchar"
"Relay","CustAddrGUID","nvarchar"
"Relay","CustCompanyGUID","nvarchar"
"Relay","DeviceGUID","nvarchar"
"Relay","EqmtAddrGUID","nvarchar"
"Relay","FolderGUID","nvarchar"
"Relay","LastResultsGUID","nvarchar"
"Relay","RegionGuid","nvarchar"
"Relay","RelayGUID","nvarchar"
"Relay","UserAddrGUID","nvarchar"
"Relay","UserCompanyGUID","nvarchar"
"Relay_Settings","RelayGUID","nvarchar"
"RelayArchive","CreatorGuid","nvarchar"
"RelayArchive","CustAddrGUID","nvarchar"
"RelayArchive","CustCompanyGUID","nvarchar"
"RelayArchive","DeviceGUID","nvarchar"
"RelayArchive","EqmtAddrGUID","nvarchar"
"RelayArchive","FolderGUID","nvarchar"
"RelayArchive","LastResultsGUID","nvarchar"
"RelayArchive","RegionGuid","nvarchar"
"RelayArchive","RelayGUID","nvarchar"
"RelayArchive","UserAddrGUID","nvarchar"
"RelayArchive","UserCompanyGUID","nvarchar"
"RelayManufModel","RelayGUID","nvarchar"
"RelayManufModel","UserGUID","nvarchar"
"ResultAttribute","ResultsGUID","nvarchar"
"Results_Header","ArchivedDeviceGuid","nvarchar"
"Results_Header","CreatorGuid","nvarchar"
"Results_Header","DeviceGuid","nvarchar"
"Results_Header","JobGUID","nvarchar"
"Results_Header","RegionGuid","nvarchar"
"Results_Header","RelayGUID","nvarchar"
"Results_Header","ResultsGUID","nvarchar"
"Results_Header","TestStatusGUID","nvarchar"
"Results_Header","WhoCompGuid","nvarchar"
"Results_Print_Order","ResultsGUID","nvarchar"
"Results_Sequence","ResultsGUID","nvarchar"
"Results_Settings","ResultsGUID","nvarchar"
"ResultsDelta","DeltaGUID","nvarchar"
"ResultsDelta","ResultsGUID","nvarchar"
"ResultsDelta","UserGUID","nvarchar"
"ResultsDeltaCompressed","DeltaGUID","nvarchar"
"ResultsHdrBinary_HIST","ResultsGUID","nvarchar"
"Test_Report","DeviceGUID","nvarchar"
"UserAccountContractor","CreatorGuid","nvarchar"
"UserAccountContractor","RegionGuid","nvarchar"
"UserAccountContractor","UserGUID","nvarchar"
