"ParentID","CurveName","Ordinal","vA","vB","vC"
38275,"Long Time Inverse",80,0.08,0.18,0.02
38275,"Long Time Very Inv.",70,28.55,0.71,2.00
38275,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38275,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38275,"Very Inverse",20,2.85,0.07,2.00
38280,"Extremely Inverse",10,6.40,0.02,2.00
38280,"Inverse",30,8.6e-03,0.01,0.02
38280,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38280,"Long Time Inverse",80,0.08,0.18,0.02
38280,"Long Time Very Inv.",70,28.55,0.71,2.00
38280,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38280,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38280,"Very Inverse",20,2.85,0.07,2.00
38290,"Extremely Inverse",10,6.40,0.02,2.00
38290,"Inverse",30,8.6e-03,0.01,0.02
38290,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38290,"Long Time Inverse",80,0.08,0.18,0.02
38290,"Long Time Very Inv.",70,28.55,0.71,2.00
38290,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38290,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38290,"Very Inverse",20,2.85,0.07,2.00
38300,"Extremely Inverse",10,6.40,0.02,2.00
38300,"Inverse",30,8.6e-03,0.01,0.02
38300,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38300,"Long Time Inverse",80,0.08,0.18,0.02
38300,"Long Time Very Inv.",70,28.55,0.71,2.00
38300,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38300,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38300,"Very Inverse",20,2.85,0.07,2.00
38310,"Extremely Inverse",10,6.40,0.02,2.00
38310,"Inverse",30,8.6e-03,0.01,0.02
38310,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38310,"Long Time Inverse",80,0.08,0.18,0.02
38310,"Long Time Very Inv.",70,28.55,0.71,2.00
38310,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38310,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38310,"Very Inverse",20,2.85,0.07,2.00
38315,"Extremely Inverse",10,6.40,0.02,2.00
38315,"Inverse",30,8.6e-03,0.01,0.02
38315,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38315,"Long Time Inverse",80,0.08,0.18,0.02
38315,"Long Time Very Inv.",70,28.55,0.71,2.00
38315,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38315,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38315,"Very Inverse",20,2.85,0.07,2.00
38325,"Extremely Inverse",10,6.40,0.02,2.00
38325,"Inverse",30,8.6e-03,0.01,0.02
38325,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38325,"Long Time Inverse",80,0.08,0.18,0.02
