"ID","ParentID","AuxKey","Ordinal","Min","Max","Step","RelUnit","UseRange","RangeKey","ScaleWithTimeMultiplier"
60715,68226,0,10,0.00,60.00,0.01,0,0,102,0
60716,68227,0,10,0.03,35.00,0.01,0,1,102,0
60717,68227,0,20,0.15,175.00,0.01,0,1,102,0
60718,68228,0,10,0.00,60.00,0.01,0,1,102,0
60721,68231,0,10,0.03,35.00,0.01,0,0,102,0
60722,68231,0,20,0.15,175.00,0.01,0,0,102,0
60723,68232,0,10,0.03,35.00,0.01,0,0,102,0
60724,68232,0,20,0.15,175.00,0.01,0,0,102,0
60725,68233,0,10,0.00,60.00,0.01,0,0,102,0
60726,68234,0,10,0.03,35.00,0.01,0,1,102,0
60727,68234,0,20,0.15,175.00,0.01,0,1,102,0
60728,68235,0,10,0.00,60.00,0.01,0,1,102,0
60730,68236,1003,1,0.00,1.00,0.01,0,1,101,0
60729,68237,1,1,0.05,3.20,0.01,0,0,202,0
60731,68238,0,10,0.03,35.00,0.01,0,0,102,0
60732,68238,0,20,0.15,175.00,0.01,0,0,102,0
60733,68239,0,10,0.03,35.00,0.01,0,0,102,0
60734,68239,0,20,0.15,175.00,0.01,0,0,102,0
60735,68240,0,10,0.00,60.00,0.01,0,0,102,0
60736,68241,0,10,0.03,35.00,0.01,0,1,102,0
60737,68241,0,20,0.15,175.00,0.01,0,1,102,0
60738,68242,0,10,0.00,60.00,0.01,0,1,102,0
60741,68245,0,10,0.03,35.00,0.01,0,0,102,0
60742,68245,0,20,0.15,175.00,0.01,0,0,102,0
60743,68246,0,10,0.03,35.00,0.01,0,0,102,0
60744,68246,0,20,0.15,175.00,0.01,0,0,102,0
60745,68247,0,10,0.00,60.00,0.01,0,0,102,0
60746,68248,0,10,0.03,35.00,0.01,0,1,102,0
60747,68248,0,20,0.15,175.00,0.01,0,1,102,0
60748,68249,0,10,0.00,60.00,0.01,0,1,102,0
60750,68250,1003,1,0.00,1.00,0.01,0,1,101,0
60749,68251,1,1,0.05,3.20,0.01,0,0,202,0
60751,68252,0,10,0.03,35.00,0.01,0,0,102,0
60752,68252,0,20,0.15,175.00,0.01,0,0,102,0
60753,68253,0,10,0.03,35.00,0.01,0,0,102,0
60754,68253,0,20,0.15,175.00,0.01,0,0,102,0
60755,68254,0,10,0.00,60.00,0.01,0,0,102,0
60756,68255,0,10,0.03,35.00,0.01,0,1,102,0
60757,68255,0,20,0.15,175.00,0.01,0,1,102,0
60758,68256,0,10,0.00,60.00,0.01,0,1,102,0
60761,68259,0,10,0.03,35.00,0.01,0,0,102,0
60762,68259,0,20,0.15,175.00,0.01,0,0,102,0
60763,68260,0,10,0.03,35.00,0.01,0,0,102,0
60764,68260,0,20,0.15,175.00,0.01,0,0,102,0
60765,68261,0,10,0.00,60.00,0.01,0,0,102,0
60766,68262,0,10,0.03,35.00,0.01,0,1,102,0
60767,68262,0,20,0.15,175.00,0.01,0,1,102,0
60768,68263,0,10,0.00,60.00,0.01,0,1,102,0
60769,68266,0,10,0.50,15.00,0.01,0,0,205,0
60771,68269,1003,1,0.00,1.00,0.01,0,1,101,0
60770,68270,0,10,0.05,15.00,0.01,0,0,205,0
60773,68271,1003,1,0.00,1.00,0.01,0,1,101,0
60772,68272,0,10,0.05,15.00,0.01,0,0,205,0
60775,68273,1003,1,0.00,1.00,0.01,0,1,101,0
60774,68274,0,10,0.05,15.00,0.01,0,0,205,0
60777,68275,1003,1,0.00,1.00,0.01,0,1,101,0
60776,68276,0,10,0.05,15.00,0.01,0,0,205,0
60781,68279,1003,1,0.00,1.00,0.01,0,1,101,0
60780,68280,0,10,0.05,15.00,0.01,0,0,205,0
60783,68281,1003,1,0.00,1.00,0.01,0,1,101,0
60782,68282,0,10,0.05,15.00,0.01,0,0,205,0
60785,68285,1003,1,0.00,1.00,0.01,0,1,101,0
60784,68286,0,10,0.05,15.00,0.01,0,0,205,0
60787,68287,1003,1,0.00,1.00,0.01,0,1,101,0
60786,68288,0,10,0.05,15.00,0.01,0,0,205,0
60789,68289,1003,1,0.00,1.00,0.01,0,1,101,0
