"ID","Section_ID","MinPickup","MaxPickup"
65744,65743,1.03,40.00
65751,65750,1.03,40.00
66123,66122,1.03,40.00
66137,66136,1.03,40.00
66590,66589,1.03,40.00
66611,66610,1.03,40.00
66632,66631,1.03,40.00
66651,66650,1.03,40.00
66695,66694,1.03,40.00
66701,66700,1.03,40.00
66707,66706,1.03,40.00
66721,66720,1.03,40.00
66735,66734,1.03,40.00
66777,66776,1.03,20.00
66784,66783,1.03,40.00
66796,66795,1.03,40.00
67015,67014,1.03,40.00
67017,67016,1.03,40.00
67230,67229,1.03,40.00
67251,67250,1.03,40.00
67446,67445,1.03,40.00
67473,67472,1.03,40.00
67500,67499,1.03,40.00
67785,67784,1.03,40.00
67810,67809,1.03,40.00
67836,67835,1.03,40.00
67868,67867,1.03,40.00
67871,67870,1.03,40.00
67873,67872,1.03,40.00
67875,67874,1.03,40.00
67877,67876,1.03,40.00
67879,67878,1.03,40.00
67915,67914,1.03,40.00
67929,67928,1.03,40.00
67943,67942,1.03,40.00
67957,67956,1.03,40.00
67973,67972,1.03,40.00
67987,67986,1.03,40.00
68001,68000,1.03,40.00
68015,68014,1.03,40.00
68031,68030,1.03,40.00
68045,68044,1.03,40.00
68059,68058,1.03,40.00
68073,68072,1.03,40.00
68089,68088,1.03,40.00
68103,68102,1.03,40.00
68117,68116,1.03,40.00
68131,68130,1.03,40.00
68147,68146,1.03,40.00
68161,68160,1.03,40.00
68175,68174,1.03,40.00
68189,68188,1.03,40.00
68209,68208,1.03,40.00
68223,68222,1.03,40.00
68237,68236,1.03,40.00
68251,68250,1.03,40.00
68321,68320,1.03,40.00
68346,68345,1.03,40.00
68386,68385,1.03,40.00
68402,68401,1.03,40.00
68552,68551,1.03,40.00
68559,68558,1.03,40.00
69023,69022,1.03,40.00
69048,69047,1.03,40.00
69074,69073,1.03,40.00
69099,69098,1.03,40.00
69124,69123,1.03,40.00
69206,69205,1.03,40.00
69262,69261,1.03,40.00
69375,69374,1.03,40.00
69389,69388,1.03,40.00
69396,69395,1.03,40.00
69432,69431,1.03,40.00
69446,69445,1.03,40.00
69460,69459,1.03,40.00
69474,69473,1.03,40.00
69497,69496,1.03,40.00
69511,69510,1.03,40.00
69518,69517,1.03,40.00
69554,69553,1.03,40.00
69568,69567,1.03,40.00
69582,69581,1.03,40.00
69596,69595,1.03,40.00
69619,69618,1.03,40.00
69633,69632,1.03,40.00
69640,69639,1.03,40.00
69676,69675,1.03,40.00
69690,69689,1.03,40.00
69704,69703,1.03,40.00
69718,69717,1.03,40.00
70560,70559,1.03,40.00
70581,70580,1.03,40.00
70609,70608,1.03,40.00
70650,70649,1.03,40.00
70656,70655,1.03,40.00
70682,70681,1.03,40.00
70701,70700,1.03,40.00
70707,70706,1.03,40.00
70733,70732,1.03,40.00
70752,70751,1.03,40.00
70758,70757,1.03,40.00
70784,70783,1.03,40.00
70803,70802,1.03,40.00
70809,70808,1.03,40.00
70835,70834,1.03,40.00
70947,70946,1.03,40.00
70963,70962,1.03,40.00
70977,70976,1.03,40.00
70993,70992,1.03,40.00
71007,71006,1.03,40.00
71021,71020,1.03,40.00
71035,71034,1.10,20.00
71039,71038,1.10,20.00
71095,71094,1.03,40.00
71124,71123,1.03,40.00
71159,71158,1.03,40.00
71177,71176,1.03,40.00
71194,71193,1.03,40.00
71263,71262,1.03,40.00
71308,71307,1.03,40.00
71331,71330,1.03,40.00
71365,71364,1.03,40.00
71399,71398,1.03,40.00
71457,71456,1.03,40.00
71475,71474,1.03,40.00
71501,71500,1.03,40.00
71526,71525,1.03,40.00
71609,71608,1.03,40.00
71632,71631,1.03,40.00
71666,71665,1.03,40.00
71700,71699,1.03,40.00
71729,71728,1.03,40.00
71755,71754,1.03,40.00
71780,71779,1.03,40.00
71807,71806,1.03,40.00
71833,71832,1.03,40.00
71858,71857,1.03,40.00
72032,72031,1.03,40.00
72040,72039,1.03,40.00
72146,72145,1.03,40.00
72162,72161,1.03,40.00
72188,72187,1.03,40.00
72421,72420,1.03,20.00
72423,72422,1.03,20.00
72425,72424,1.03,20.00
72427,72426,1.03,20.00
72492,72491,1.10,20.00
72502,72501,1.10,20.00
72518,72517,1.10,20.00
72528,72527,1.10,20.00
72538,72537,1.10,20.00
72548,72547,1.10,20.00
72560,72559,1.10,20.00
72570,72569,1.10,20.00
72587,72586,1.10,20.00
72597,72596,1.10,20.00
72607,72606,1.10,20.00
72617,72616,1.10,20.00
72627,72626,1.10,20.00
72637,72636,1.10,20.00
72654,72653,1.10,20.00
72664,72663,1.10,20.00
