"ID","Section_ID","MinPickup","MaxPickup"
78793,78792,1.03,40.00
78809,78808,1.03,40.00
78815,78814,1.03,40.00
78824,78823,1.03,40.00
78829,78828,1.03,40.00
78834,78833,1.03,40.00
78839,78838,1.03,40.00
78849,78848,1.03,40.00
78854,78853,1.03,40.00
78859,78858,1.03,40.00
78864,78863,1.03,40.00
78871,78870,1.03,40.00
78876,78875,1.03,40.00
78881,78880,1.03,40.00
78886,78885,1.03,40.00
79620,79619,1.03,40.00
80346,80345,1.03,40.00
80357,80356,1.03,40.00
80362,80361,1.03,40.00
80367,80366,1.03,40.00
80615,80614,1.03,30.00
80654,80653,1.03,30.00
80677,80676,1.03,30.00
80700,80699,1.03,30.00
80707,80706,1.03,30.00
80730,80729,1.03,30.00
81121,81120,1.03,40.00
81144,81143,1.03,40.00
81179,81178,1.03,40.00
81213,81212,1.03,40.00
81247,81246,1.03,40.00
81282,81281,1.03,40.00
81492,81491,1.03,30.00
81515,81514,1.03,30.00
81538,81537,1.03,30.00
82489,82488,1.03,40.00
82501,82500,1.03,40.00
82978,82977,1.03,40.00
82989,82988,1.03,40.00
83026,83025,1.03,40.00
83041,83040,1.03,40.00
83294,83293,1.03,40.00
83297,83296,1.03,40.00
83775,83774,1.03,30.00
85815,85814,1.03,40.00
86537,86536,1.03,40.00
86547,86546,1.03,40.00
86687,86686,1.03,40.00
86692,86691,1.03,40.00
88191,88190,1.03,40.00
88194,88193,1.03,40.00
88196,88195,1.03,40.00
88201,88200,1.03,40.00
88205,88204,1.03,40.00
88209,88208,1.03,40.00
88213,88212,1.03,40.00
88231,88230,1.03,40.00
88233,88232,1.03,40.00
88235,88234,1.03,40.00
88237,88236,1.03,40.00
88239,88238,1.03,40.00
88713,88712,1.03,40.00
88718,88717,1.03,40.00
89689,89688,1.03,40.00
89691,89690,1.03,40.00
89693,89692,1.03,40.00
89695,89694,1.03,40.00
89763,89762,1.03,30.00
89782,89781,1.03,30.00
90069,90068,1.03,40.00
90598,90597,1.03,30.00
90621,90620,1.03,30.00
90644,90643,1.03,30.00
90667,90666,1.03,30.00
90706,90705,1.03,30.00
90713,90712,1.03,30.00
90752,90751,1.03,30.00
90759,90758,1.03,30.00
90798,90797,1.03,30.00
91042,91041,1.03,40.00
91049,91048,1.03,40.00
91420,91419,1.10,20.00
91430,91429,1.03,30.00
91453,91452,1.03,30.00
91476,91475,1.03,30.00
91503,91502,1.03,30.00
91526,91525,1.03,30.00
91549,91548,1.03,30.00
91576,91575,1.03,30.00
91599,91598,1.03,30.00
91622,91621,1.03,30.00
91701,91700,1.03,40.00
91703,91702,1.03,40.00
91705,91704,1.03,40.00
