"ID","Section_ID","MinPickup","MaxPickup"
79010,79009,1.03,40.00
79012,79011,1.03,40.00
79023,79022,1.03,40.00
79030,79029,1.03,40.00
79037,79036,1.03,40.00
79044,79043,1.03,40.00
79115,79114,1.03,40.00
79135,79134,1.03,40.00
79142,79141,1.03,40.00
79149,79148,1.03,40.00
79188,79187,1.03,40.00
79527,79526,1.03,40.00
79553,79552,1.03,40.00
80770,80769,1.50,30.00
80772,80771,1.50,30.00
80835,80834,1.03,40.00
80859,80858,1.03,40.00
80884,80883,1.03,40.00
80901,80900,1.03,40.00
81138,81137,1.03,40.00
81161,81160,1.03,40.00
81195,81194,1.03,40.00
81229,81228,1.03,40.00
81264,81263,1.03,40.00
81298,81297,1.03,40.00
81423,81422,1.03,40.00
81445,81444,1.03,40.00
81781,81780,1.03,40.00
81783,81782,1.03,40.00
81785,81784,1.03,40.00
81787,81786,1.03,40.00
81813,81812,1.03,40.00
81815,81814,1.03,40.00
81817,81816,1.03,40.00
81819,81818,1.03,40.00
82110,82109,1.03,40.00
82112,82111,1.03,40.00
82114,82113,1.03,40.00
82116,82115,1.03,40.00
82118,82117,1.03,40.00
82120,82119,1.03,40.00
82122,82121,1.03,40.00
82124,82123,1.03,40.00
82126,82125,1.03,40.00
82128,82127,1.03,40.00
82130,82129,1.03,40.00
82132,82131,1.03,40.00
82134,82133,1.03,40.00
82136,82135,1.03,40.00
82138,82137,1.03,40.00
82140,82139,1.03,40.00
82142,82141,1.03,40.00
82144,82143,1.03,40.00
82151,82150,1.03,40.00
82171,82170,1.03,40.00
82191,82190,1.03,40.00
82211,82210,1.03,40.00
82295,82294,1.03,40.00
82316,82315,1.03,40.00
82441,82440,1.03,40.00
82463,82462,1.03,40.00
82622,82621,1.03,40.00
82788,82787,1.03,40.00
82790,82789,1.03,40.00
82792,82791,1.03,40.00
82794,82793,1.03,40.00
82796,82795,1.03,40.00
82798,82797,1.03,40.00
82800,82799,1.03,40.00
82802,82801,1.03,40.00
82840,82839,1.03,40.00
82854,82853,1.03,40.00
82868,82867,1.03,40.00
82882,82881,1.03,40.00
82929,82928,1.03,40.00
82934,82933,1.03,40.00
83112,83111,1.03,40.00
83132,83131,1.03,40.00
83152,83151,1.03,40.00
83764,83763,1.03,40.00
83767,83766,1.03,40.00
83794,83793,1.03,40.00
83811,83810,1.03,40.00
83828,83827,1.03,40.00
83845,83844,1.03,40.00
83895,83894,1.03,40.00
84009,84008,1.03,40.00
84014,84013,1.03,40.00
84068,84067,1.03,40.00
84073,84072,1.03,40.00
84083,84082,1.03,40.00
84088,84087,1.03,40.00
84098,84097,1.03,40.00
84103,84102,1.03,40.00
84183,84182,1.03,40.00
84189,84188,1.03,40.00
84244,84243,1.03,40.00
84322,84321,1.03,40.00
84471,84470,1.03,40.00
84493,84492,1.03,40.00
84500,84499,1.03,40.00
84507,84506,1.03,40.00
84528,84527,1.03,40.00
84542,84541,1.03,40.00
84556,84555,1.03,40.00
84570,84569,1.03,40.00
84591,84590,1.03,40.00
84613,84612,1.03,40.00
84620,84619,1.03,40.00
84627,84626,1.03,40.00
84648,84647,1.03,40.00
84662,84661,1.03,40.00
84676,84675,1.03,40.00
84690,84689,1.03,40.00
84711,84710,1.03,40.00
84733,84732,1.03,40.00
84740,84739,1.03,40.00
84747,84746,1.03,40.00
84768,84767,1.03,40.00
84782,84781,1.03,40.00
84796,84795,1.03,40.00
84810,84809,1.03,40.00
84861,84860,1.03,40.00
84893,84892,1.03,40.00
85096,85095,1.03,40.00
85130,85129,1.03,40.00
85167,85166,1.03,40.00
85202,85201,1.03,40.00
85420,85419,1.03,40.00
85424,85423,1.03,40.00
85485,85484,1.03,40.00
85487,85486,1.03,40.00
85731,85730,1.03,40.00
85773,85772,1.03,40.00
85863,85862,1.03,40.00
86392,86391,1.03,40.00
86832,86831,1.03,40.00
86837,86836,1.03,40.00
86862,86861,1.03,40.00
86922,86921,1.03,40.00
86943,86942,1.03,40.00
86950,86949,1.03,40.00
86971,86970,1.03,40.00
87031,87030,1.03,40.00
87052,87051,1.03,40.00
87112,87111,1.03,40.00
87177,87176,1.03,40.00
87597,87596,1.03,40.00
87602,87601,1.03,40.00
87618,87617,1.03,40.00
87638,87637,1.03,40.00
87645,87644,1.03,40.00
87652,87651,1.03,40.00
87706,87705,1.03,40.00
87741,87740,1.03,40.00
87943,87942,1.50,30.00
87950,87949,1.03,40.00
87973,87972,1.50,30.00
87980,87979,1.03,40.00
88003,88002,1.50,30.00
88010,88009,1.03,40.00
88033,88032,1.50,30.00
88040,88039,1.03,40.00
88732,88731,1.50,30.00
88743,88742,1.50,30.00
88768,88767,1.50,30.00
88786,88785,1.50,30.00
88818,88817,1.50,30.00
88848,88847,1.50,30.00
88872,88871,1.50,30.00
88879,88878,1.50,30.00
88914,88913,1.50,30.00
88920,88919,1.03,40.00
88940,88939,1.50,30.00
88946,88945,1.03,40.00
88966,88965,1.50,30.00
88972,88971,1.03,40.00
88999,88998,1.03,40.00
89012,89011,1.03,40.00
89027,89026,1.03,40.00
89051,89050,1.03,40.00
89083,89082,1.03,40.00
89207,89206,1.03,40.00
89228,89227,1.03,40.00
89249,89248,1.03,40.00
89270,89269,1.03,40.00
89280,89279,1.03,40.00
89491,89490,1.03,40.00
89493,89492,1.03,40.00
89506,89505,1.03,40.00
89508,89507,1.03,40.00
89510,89509,1.03,40.00
89512,89511,1.03,40.00
89532,89531,1.03,40.00
89554,89553,1.03,40.00
89583,89582,1.03,40.00
89597,89596,1.03,40.00
89610,89609,1.03,40.00
89624,89623,1.03,40.00
89652,89651,1.03,40.00
89812,89811,1.03,40.00
89817,89816,1.03,40.00
89840,89839,1.03,40.00
89849,89848,1.03,40.00
89860,89859,1.03,40.00
89869,89868,1.03,40.00
89883,89882,1.03,40.00
89888,89887,1.03,40.00
89893,89892,1.03,40.00
89898,89897,1.03,40.00
89903,89902,1.03,40.00
89908,89907,1.03,40.00
89999,89998,1.03,40.00
90006,90005,1.03,40.00
90090,90089,1.03,40.00
90110,90109,1.03,40.00
90265,90264,1.03,40.00
90267,90266,1.03,40.00
90269,90268,1.03,40.00
90271,90270,1.03,40.00
90296,90295,1.50,30.00
90302,90301,1.03,40.00
90322,90321,1.50,30.00
90328,90327,1.03,40.00
90348,90347,1.50,30.00
90354,90353,1.03,40.00
90405,90404,1.03,40.00
90416,90415,1.03,40.00
90423,90422,1.03,40.00
90460,90459,1.03,40.00
90465,90464,1.03,40.00
90470,90469,1.03,40.00
90475,90474,1.03,40.00
90480,90479,1.03,40.00
90547,90546,1.03,40.00
90573,90572,1.03,40.00
90885,90884,1.03,40.00
90941,90940,1.03,40.00
90958,90957,1.03,40.00
