"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
974,1,"GR5","Fround Fault Protection System GR5
IB 7.1.1.7-2 Issue A

Source : 71172a.pdf",0,0,0,0
808,1,"GRC","Type GRC
Solid State Ground Fault Relay System

Source : IB 7.1.1.7-5 Issue B",0,0,0,0
628,1,"Hi Lo CO-11","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990",0,0,0,1
681,1,"Hi Lo CO-11(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-11 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. ",1,0,0,1
629,1,"Hi Lo CO-2","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990",0,0,0,1
682,1,"Hi Lo CO-2(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-2 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. ",1,0,0,1
630,1,"Hi Lo CO-5","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990",0,0,0,1
683,1,"Hi Lo CO-5(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-5 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. ",1,0,0,1
631,1,"Hi Lo CO-6","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990",0,0,0,1
684,1,"Hi Lo CO-6(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-6 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. ",1,0,0,1
632,1,"Hi Lo CO-7","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990",0,0,0,1
685,1,"Hi Lo CO-7(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-7 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. ",1,0,0,1
633,1,"Hi Lo CO-8","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990",0,0,0,1
