"ParentID","CurveName","Ordinal","vK","vE","DTAfter","DTMinTime"
72188,"IEC Ext Inv",30,80.00,2.00,,0.04
72188,"IEC LT Inv",50,120.00,1.00,,0.04
72188,"IEC Normal Inv",10,0.14,0.02,,0.04
72188,"IEC ST Inv",40,0.05,0.04,,0.04
72188,"IEC Very Inv",20,13.50,1.00,,0.04
72421,"(10) IEC Very Inv",20,13.50,1.00,,0.04
72421,"(11) IEC Inv",30,0.14,0.02,,0.04
72421,"(12) IEC Ext Inv",40,80.00,2.00,,0.04
72421,"(13) IEC ST Inv",50,0.05,0.04,,0.04
72421,"(14) IEC LT Inv",60,120.00,1.00,,0.04
72421,"(9) IEC Normal Inv",10,0.14,0.02,,0.04
72423,"(10) IEC Very Inv",20,13.50,1.00,,0.04
72423,"(11) IEC Inv",30,0.14,0.02,,0.04
72423,"(12) IEC Ext Inv",40,80.00,2.00,,0.04
72423,"(13) IEC ST Inv",50,0.05,0.04,,0.04
72423,"(14) IEC LT Inv",60,120.00,1.00,,0.04
72423,"(9) IEC Normal Inv",10,0.14,0.02,,0.04
72425,"(10) IEC Very Inv",20,13.50,1.00,,0.04
72425,"(11) IEC Inv",30,0.14,0.02,,0.04
72425,"(12) IEC Ext Inv",40,80.00,2.00,,0.04
72425,"(13) IEC ST Inv",50,0.05,0.04,,0.04
72425,"(14) IEC LT Inv",60,120.00,1.00,,0.04
72425,"(9) IEC Normal Inv",10,0.14,0.02,,0.04
72427,"(10) IEC Very Inv",20,13.50,1.00,,0.04
72427,"(11) IEC Inv",30,0.14,0.02,,0.04
72427,"(12) IEC Ext Inv",40,80.00,2.00,,0.04
72427,"(13) IEC ST Inv",50,0.05,0.04,,0.04
72427,"(14) IEC LT Inv",60,120.00,1.00,,0.04
72427,"(9) IEC Normal Inv",10,0.14,0.02,,0.04
72492,"Ext Inv",30,80.00,2.00,,
72492,"Norm Inv",10,0.14,0.02,,
72492,"Very Inv",20,13.50,1.00,,
72502,"Ext Inv",30,80.00,2.00,,
72502,"Long Inv",40,120.00,1.00,,
72502,"Norm Inv",10,0.14,0.02,,
72502,"Very Inv",20,13.50,1.00,,
72518,"Ext Inv",30,80.00,2.00,20.00,0.05
72518,"Long Inv",40,120.00,1.00,20.00,0.05
72518,"Norm Inv",10,0.14,0.02,20.00,0.05
72518,"Very Inv",20,13.50,1.00,20.00,0.05
72528,"Ext Inv",30,80.00,2.00,20.00,0.05
72528,"Long Inv",40,120.00,1.00,20.00,0.05
72528,"Norm Inv",10,0.14,0.02,20.00,0.05
72528,"Very Inv",20,13.50,1.00,20.00,0.05
72538,"Ext Inv",30,80.00,2.00,20.00,0.05
72538,"Long Inv",40,120.00,1.00,20.00,0.05
72538,"Norm Inv",10,0.14,0.02,20.00,0.05
72538,"Very Inv",20,13.50,1.00,20.00,0.05
