device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Trip Units,Siemens,ETU,ETU,catalog,etu745,Selection and Application Guide Low Voltage WL Circuit Breakers usa,Trip Units/Siemens/ETU/etu745.pdf,local,,,lib-trips,Siemens\etu745.pdf,,,
Trip Units,Siemens,SENTRON 3WA,SENTRON 3WA,instruction-manual,,manual 3wa 02 2023 en,Trip Units/Siemens/SENTRON 3WA/manual-3wa-02-2023-en.pdf,local,,,lib-trips,Siemens\manual-3wa-02-2023-en.pdf,,,
Trip Units,Siemens,Siemens,Siemens,catalog,,sentron 3va1,Trip Units/Siemens/Siemens/sentron_3va1.pdf,local,,,lib-trips,Siemens\sentron_3va1.pdf,,,
Trip Units,Siemens,SENTRON 3VA,SENTRON 3VA,catalog,Case,SIE SS 3VA64 600A Electronic1,Trip Units/Siemens/SENTRON 3VA/SIE_SS_3VA64_600A_Electronic1.pdf,local,,,lib-trips,Siemens\SIE_SS_3VA64_600A_Electronic1.pdf,,,
Trip Units,Siemens,ETU,ETU,curve-book,,Siemens ETU 586 & ETU 555 Trip Curves,Trip Units/Siemens/ETU/Siemens ETU 586 & ETU 555 Trip Curves.pdf,local,,,lib-trips,Siemens\Siemens ETU 586 & ETU 555 Trip Curves.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,WL ETU TCC,_quarantine/lib-trips/WL ETU TCC.xls,local,,,lib-trips,Siemens\WL ETU TCC.xls,,,non-PDF or invalid PDF
Trip Units,Siemens,SENTRON 3WL/WL,SENTRON 3WL/WL,instruction-manual,Death,wl series,Trip Units/Siemens/SENTRON 3WL_WL/wl_series.pdf,local,,,lib-trips,Siemens\wl_series.pdf,,,
Trip Units,Schneider Electric,Masterpact,Masterpact,instruction-manual,DOCA0170EN,DOCA0170EN 05,Trip Units/Schneider Electric/Masterpact/DOCA0170EN-05.pdf,local,,,lib-trips,Square D\DOCA0170EN-05.pdf,,,
Trip Units,Schneider Electric,Masterpact MTZ,Masterpact MTZ,instruction-manual,DOCA0102EN,Masterpact X,Trip Units/Schneider Electric/Masterpact MTZ/Masterpact X.pdf,local,,,lib-trips,Square D\Masterpact X.pdf,,,
Trip Units,Schneider Electric,Micrologic,Micrologic,instruction-manual,Categories,Micrologic 5.0 6.0H,Trip Units/Schneider Electric/Micrologic/Micrologic 5.0 6.0H.pdf,local,,,lib-trips,Square D\Micrologic 5.0 6.0H.pdf,,,
Trip Units,Square-D,Series C,Series C,instruction-manual,,"Powerpact H, J & L Breakers","Trip Units/Square-D/Series C/Powerpact H, J & L Breakers.pdf",local,,,lib-trips,"Square D\Powerpact H, J & L Breakers.pdf",,,
