Designation,Type_Code,Type_Name,Source_SLD
1F0AS-BD-A-01,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-BD-B-01,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-BD-B-02,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-BD-B-03,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-BD-C-02A,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-BD-C-02B,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-BD-C-04,BD,Breaker/Distribution,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-DS-2 02,DS,Disconnect Switch,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-DS-2 04,DS,Disconnect Switch,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-DS-2 06,DS,Disconnect Switch,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-ELP-2 01,UNK,Unknown,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-ESWB-02,ESWB,Emergency Switchboard,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-HDP-2 07,UNK,Unknown,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-HDP-2 08,UNK,Unknown,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-HDP-2 09,UNK,Unknown,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-HPP-1 15,HPP,High Power Panel,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
1F0AS-LPDP-1 02,LP,Lighting Panel,DDE-1F0 ELECTRICAL ONLINES FOR RESA.pdf
