"Scope","NETA_Standard","Task_ID","Task","Apparatus","Designation","Drawing","Date Due","Notes","Assessment","DATASHEET","DATE COMPLETED","NOTES2","% COMPLETION","TASK DELAYS","Apparatus Hours","Remaining Hours","ACTUAL HOURS","STATUS","AVAILABILITY","PRIORITY","Apparatus Category"
"IPS","ATS","1.7.6","Vacuum Breakers","Circuit Breaker MV - Vacuum Bkr",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.8.1","Protective Relays","Protective Relay (Feeder Protection)",,"","","Waiting on coordination study.","","False","46000","Waiting on coordination study.","1","","5","0","5","COMPLETED","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.2","Protective Relays","Protective Relay (Feeder Protection)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.3","Protective Relays","Protective Relay (Feeder Protection)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.4","Protective Relays","Protective Relay (Feeder Protection)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.5","Protective Relays","Protective Relay (Feeder Protection)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.6","Protective Relays","Protective Relay (Feeder Protection)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.7","Protective Relays","Protective Relay - (Bus Differential)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","5","5","5","","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.8.8","Protective Relays","Meter - PQM/Microprocessor Based",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","2.5","2.5","2.5","","NOT AVAILABLE","","PQM"
"IPS","ATS","1.9.1","MV Distribution","Switchgear - Medium Voltage",,"","","Some low voltage wiring issues need to be fixed. ","","False","45995","Some low voltage wiring issues need to be fixed. ","1","","2.5","0","2.5","COMPLETED","READY","","Distribution"
"IPS","ATS","1.9.2","MV Distribution","Transformer - Pad Mount Oil (TTR/IR/WR/PF/Oil)",,"","","","","False","45994","","1","","12","0","12","COMPLETED","READY","","Transformer"
"IPS","ATS","1.9.3","MV Distribution","Transformer - Oil Sample Draw",,"","","","","False","","","1","","1","0","1","COMPLETED","READY","","Transformer"
"IPS","ATS","1.9.4","MV Distribution","Conductors MV - Set of 3 (VLF Hipotential)",,"","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.9.5","MV Distribution","Conductors MV - Set of 3 (VLF Hipotential)",,"","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.9.6","MV Distribution","Conductors MV - Set of 3 (VLF Hipotential)",,"","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.9.7","MV Distribution","Conductors MV - Set of 3 (VLF Hipotential)",,"","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.9.8","MV Distribution","Conductors MV - Set of 3 (VLF Hipotential)",,"","","","","False","","","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.9.9","MV Distribution","Circuit Breaker LV - Insulated Case (LSIG)",,"","","? Dont see in MV gear over 100A","","False","","? Dont see in MV gear over 100A","0","","3.5","3.5","3.5","","","","Circuit Breaker"
"IPS","ATS","1.10.1","VFD-00-011","Motor Starter (Contactor) MV",,"","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","0","","4","4","4","NOT STARTED","READY","","Motor Control"
"IPS","ATS","1.10.2","VFD-00-011","Motor Starter (Contactor) MV",,"","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","4","0","4","COMPLETED","READY","","Motor Control"
"IPS","ATS","1.10.3","VFD-00-011","Switch MV - Fused Disconnect",,"","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","2.5","0","2.5","COMPLETED","READY","","Switch"
"IPS","ATS","1.10.4","VFD-00-011","Arrestor - Medium Voltage (Set)",,"","","","","False","46000","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.10.5","VFD-00-011","Potential Transformer - MV Set",,"","","2 up top and 2 under gear","","False","46000","2 up top and 2 under gear","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.10.6","VFD-00-011","Current Transformer LV - Set of 3",,"","","","","False","","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.10.7","VFD-00-011","Reactors - (Shunt and Current-Limiting) Dry-Type",,"","","","","False","","","0","","2","2","2","NOT STARTED","READY","","Reactor"
"IPS","ATS","1.10.8","VFD-00-011","Protective Relay (Motor Control)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","8","8","8","NOT STARTED","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.10.9","VFD-00-011","Transformer - Dry Type (TTR/WR/IR)",,"","","","","False","","","0","","3","3","3","NOT STARTED","READY","","Transformer"
"IPS","ATS","1.10.10","VFD-00-011","Conductors MV - Set of 3 (VLF Hipotential)",,"","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.11.1","VFD-00-012","Motor Starter (Contactor) MV",,"","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","0","","4","4","4","NOT STARTED","READY","","Motor Control"
"IPS","ATS","1.11.2","VFD-00-012","Motor Starter (Contactor) MV",,"","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","4","0","4","COMPLETED","READY","","Motor Control"
"IPS","ATS","1.11.3","VFD-00-012","Switch MV - Fused Disconnect",,"","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","2.5","0","2.5","COMPLETED","READY","","Switch"
"IPS","ATS","1.11.4","VFD-00-012","Arrestor - Medium Voltage (Set)",,"","","","","False","46000","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.11.5","VFD-00-012","Potential Transformer - MV Set",,"","","2 up top and 2 under gear","","False","46000","2 up top and 2 under gear","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.11.6","VFD-00-012","Current Transformer LV - Set of 3",,"","","","","False","","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.11.7","VFD-00-012","Reactors - (Shunt and Current-Limiting) Dry-Type",,"","","","","False","","","0","","2","2","2","NOT STARTED","READY","","Reactor"
"IPS","ATS","1.11.8","VFD-00-012","Protective Relay (Motor Control)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","8","8","8","NOT STARTED","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.11.9","VFD-00-012","Transformer - Dry Type (TTR/WR/IR)",,"","","","","False","","","0","","3","3","3","NOT STARTED","READY","","Transformer"
"IPS","ATS","1.11.10","VFD-00-012","Conductors MV - Set of 3 (VLF Hipotential)",,"","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.12.1","VFD-00-013","Motor Starter (Contactor) MV",,"","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","0","","4","4","4","NOT STARTED","READY","","Motor Control"
"IPS","ATS","1.12.2","VFD-00-013","Motor Starter (Contactor) MV",,"","","Only able to perform partial testing to avoid damaging VFD","","False","","Only able to perform partial testing to avoid damaging VFD","1","","4","0","4","COMPLETED","READY","","Motor Control"
"IPS","ATS","1.12.3","VFD-00-013","Switch MV - Fused Disconnect",,"","","Only able to perform partial testing to avoid damaging VFD","","False","46000","Only able to perform partial testing to avoid damaging VFD","1","","2.5","0","2.5","COMPLETED","READY","","Switch"
"IPS","ATS","1.12.4","VFD-00-013","Arrestor - Medium Voltage (Set)",,"","","","","False","46000","","1","","2","0","2","COMPLETED","READY","","Arresters"
"IPS","ATS","1.12.5","VFD-00-013","Potential Transformer - MV Set",,"","","2 up top and 2 under gear","","False","46000","2 up top and 2 under gear","1","","2.5","0","2.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.12.6","VFD-00-013","Current Transformer LV - Set of 3",,"","","","","False","","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.12.7","VFD-00-013","Reactors - (Shunt and Current-Limiting) Dry-Type",,"","","","","False","","","0","","2","2","2","","READY","","Reactor"
"IPS","ATS","1.12.8","VFD-00-013","Protective Relay (Motor Control)",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","8","8","8","NOT STARTED","NOT AVAILABLE","","Protective Relay"
"IPS","ATS","1.12.9","VFD-00-013","Transformer - Dry Type (TTR/WR/IR)",,"","","","","False","","","0","","3","3","3","","READY","","Transformer"
"IPS","ATS","1.12.10","VFD-00-013","Conductors MV - Set of 3 (VLF Hipotential)",,"","","Customer stated term guys will be there next week 12.5.2025","","False","","Customer stated term guys will be there next week 12.5.2025","0","","4","4","4","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.13.1","MCC-00-001","Motor Control Center LV",,"","","Failed contact resistance. Ground from section 1 to section 2 not connected. CT interconnect not wired","NON-SERVICEABLE","False","45994","Failed contact resistance. Ground from section 1 to section 2 not connected. CT interconnect not wired","1","","8","0","8","COMPLETED","ON HOLD","","Motor Control"
"IPS","ATS","1.13.2","MCC-00-001","Circuit Breaker LV - Draw-Out (LSIG)",,"","","","ACCEPTABLE","False","45994","","1","","4","0","4","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.13.3","MCC-00-001","Meter - PQM/Microprocessor Based",,"","","Waiting on coordination study.","","False","","Waiting on coordination study.","0","","2.5","2.5","2.5","NOT STARTED","NOT AVAILABLE","","PQM"
"IPS","ATS","1.13.4","MCC-00-001","Current Transformer LV - Set of 3",,"","","","ACCEPTABLE","False","45994","","1","","2","0","2","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.13.5","MCC-00-001","Potential Transformer - LV Set",,"","","","","False","45994","","1","","1.5","0","1.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.13.6","MCC-00-001","Control Power Transformer - LV Swbd",,"","","","","False","45994","","1","","1.5","0","1.5","COMPLETED","READY","","Instrument Transformers"
"IPS","ATS","1.13.7","MCC-00-001","Arrestor (SPD) - Low Voltage",,"","","","","False","","","0","","0.5","0.5","0.5","NOT STARTED","READY","","Arresters"
"IPS","ATS","1.14.1","LV Distribution","Transformer - Dry Type (TTR/IR)",,"","","","ACCEPTABLE","False","45994","","1","","1.5","0","1.5","COMPLETED","READY","","Transformer"
"IPS","ATS","1.14.2","LV Distribution","Panelboard - Low Voltage",,"","","","ACCEPTABLE","False","","","1","","0.5","0","0.5","COMPLETED","READY","","Distribution"
"IPS","ATS","1.14.3","LV Distribution","Circuit Breaker LV - Panelboard MCB",,"","","100 amp","ACCEPTABLE","False","","100 amp","1","","2.5","0","2.5","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.14.4","LV Distribution","Arrestor (SPD) - Low Voltage",,"","","","","False","","","0","","0.5","0.5","0.5","NOT STARTED","READY","","Arresters"
"IPS","ATS","1.14.5","LV Distribution","Transformer - Dry Type (TTR/IR)",,"","","","ACCEPTABLE","False","45994","","1","","1.5","0","1.5","COMPLETED","READY","","Transformer"
"IPS","ATS","1.14.6","LV Distribution","Panelboard - Low Voltage",,"","","","ACCEPTABLE","False","","","1","","0.5","0","0.5","COMPLETED","READY","","Distribution"
"IPS","ATS","1.14.7","LV Distribution","Circuit Breaker LV - Panelboard MCB",,"","","100 amp","ACCEPTABLE","False","","100 amp","1","","2.5","0","2.5","COMPLETED","READY","","Circuit Breaker"
"IPS","ATS","1.14.8","LV Distribution","Arrestor (SPD) - Low Voltage",,"","","","","False","","","0","","0.5","0.5","0.5","NOT STARTED","READY","","Arresters"
"IPS","ATS","1.14.9","LV Distribution","Switch LV - Fused Disconnect",,"","","Not Installed","","False","","Not Installed","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Switch"
"IPS","ATS","1.14.10","LV Distribution","Switch LV - Fused Disconnect",,"","","Not Installed","","False","","Not Installed","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Switch"
"IPS","ATS","1.14.11","LV Distribution","Uninterruptible Power Supply - UPS",,"","","","","False","","","0","","3","3","3","NOT STARTED","NOT AVAILABLE","","UPS"
"IPS","ATS","1.14.12","LV Distribution","Ground Resistance Test -  Two-Point (Half Day)",,"","","waiting for lighting protection to be installed","","False","","waiting for lighting protection to be installed","1","","5","0","5","COMPLETED","ON HOLD","","Grounding"
"IPS","ATS","1.15.1","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","46000","","1","","1","0","1","COMPLETED","READY","","Conductors"
"IPS","ATS","1.15.2","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.15.3","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.15.4","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.15.5","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.15.6","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.15.7","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"IPS","ATS","1.15.8","LV Cables","Conductors LV - 3 Phase Feeder",,"","","","","False","","","0","","1","1","1","NOT STARTED","NOT AVAILABLE","","Conductors"
"NWWRP","ATS","2.1.1","ATS","Motor Control Center LV",,"","","","","False","46000","","1","","8","0","8","COMPLETED","NOT AVAILABLE","","Motor Control"
"NWWRP","ATS","2.1.2","ATS","Ground Resistance Test - FOP or Clamp Method",,"","","","","False","46000","","1","","2.5","0","2.5","COMPLETED","NOT AVAILABLE","","Grounding"
"NWWRP","ATS","2.1.3","ATS","Ground Resistance Test - FOP or Clamp Method",,"","","","","False","46000","","1","","2.5","0","2.5","COMPLETED","NOT AVAILABLE","","Grounding"
"NWWRP","ATS","2.1.4","ATS","Switchboard - Service Entrance",,"","","","","False","46000","","1","","1.5","0","1.5","COMPLETED","NOT AVAILABLE","","Distribution"
"NWWRP","ATS","2.1.5","ATS","Arrestor (SPD) - Low Voltage",,"","","","","False","46000","","1","","0.5","0","0.5","COMPLETED","NOT AVAILABLE","","Arresters"
"NWWRP","ATS","2.1.6","ATS","Circuit Breaker LV - Molded Case Thermal/Mag",,"","","","","False","46000","","1","","4","0","4","COMPLETED","NOT AVAILABLE","","Circuit Breaker"
"GWRP","ATS","3.1.1","LV Cables","Conductors LV - 3 Phase Feeder",,"","","Will not be tested per Terry Huston with Garney.","","False","45999","Will not be tested per Terry Huston with Garney.","1","","1","0","1","COMPLETED","NOT AVAILABLE","","Conductors"
"GWRP","ATS","3.1.2","LV Cables","Conductors LV - 3 Phase Feeder",,"","","Will not be tested per Terry Huston with Garney.","","False","45999","Will not be tested per Terry Huston with Garney.","1","","1","0","1","COMPLETED","NOT AVAILABLE","","Conductors"
